COURSE CODE2,COURSE TITLE,EOS,EOS Mid-point
LM089,Sport and Exercise Sciences,474,489
LM090,Physical Education with concurrent Teacher Education,532,565
LM091,Languages with concurrent Teacher Education,517,543
LM092,Science with Teacher Ed (Biology with Physics/Chemistry/Ag Science),507,531
LM093,Equine Science,339,412
LM094,Materials and Architectural Technology with concurrent Teacher Education,440,478
LM095,Materials and Engineering Technology with concurrent Teacher Education,367,421
LM096,Science with Teacher Ed (Physical Sciences with Chemistry and Physics),405,454
LM097,Mathematics and Computer Science with concurrent Teacher Education,402,509
LM099,Architecture (portfolio requirement suspended),498,532
LM100,Physiotherapy,589,601
LM101,Medicine  - Graduate Entry (GAMSAT required),55,57
LM102,Psychology,509,529
LM103,Paramedic Studies (B/C1/C1 Provisional Drivers Licence),392,445
LM115,Chemical and Biochemical Engineering,454,532
LM116,Engineering (Biomedical/Civil/Design and Manufacture/Mechanical),476,521
LM118,Electronic and Computer Engineering,403,489
LM121,Computer Science (Computer Systems/Games Dev/Mobile Comm Security),351,423
LM122,Creative Media and Interaction Design (Digital Design/Music Media Tech),327,401
LM123,Biological & Chemical Sciences (Biosci/Envir Sci/Ind Bio/IndPharma Chem),441,478
LM124,Mathematics (Math Science/Maths and Physics/Economics and Maths),437,509
LM125,Physics (Applied Physics or Mathematics & Physics),404,520
LM150,General Nursing,475,498
LM152,Mental Health Nursing,419,430
LM154,Intellectual Disability Nursing,440,473
LM156,Midwifery,469,499
LY108,Business - Accounting,309,431
LY118,Business,290,377
LY208,Law,300,367
LY228,Sports and Exercise - Common Entry,300,367
LY408,Design - Common Entry,320,381
LY508,Fire Safety Engineering,276,326
LY518,Quantity Surveying,301,368
LY528,Construction Management,271,321
LY608,Mechanical Engineering,300,379
LY618,Electronic Engineering,312,402
LY708,Applied Computing,306,372
LY748,Computer Science,317,420
LY818,Science - Common Entry,303,409
LY828,Agriculture - Common Entry,307,351
LY908,General Nursing,400,423
LY918,Psychiatric Nursing,357,387
LY928,Intellectual Disability Nursing,328,346
LY968,"Early Childhood Care, Health and Education",303,361
LY978,Health & Social Care - Common Entry,280,330
MH001,Education - Primary Teaching (Froebel),507,531
MH002,Education - Primary Teaching - Gaeltacht Applicants (Froebel),,
MH101,Arts,318,388
MH103,Music,#,#
MH106,Psychology - 3 years,521,529
MH107,Social Science,346,388
MH109,Media Studies,316,377
MH116,Community and Youth Work (Full-Time),#,#
MH201,Science,360,418
MH202,Biotechnology,455,466
MH203,Biological and Geographical Sciences,430,465
MH204,Physics with Astrophysics,422,479
MH206,Theoretical Physics and Mathematics,510,533
MH207,Data Science,445,520
MH208,Biological and Biomedical Sciences,498,510
MH209,Psychology (through Science) - 4 years,498,510
MH210,Pharmaceutical and Biomedical Chemistry,487,520
MH212,Science or Maths & Computer Science or Maths & Applied Maths (with Ed),422,487
MH304,Engineering (Computer/Electronic/Communications),333,444
MH305,Product Design,357,409
MH306,Robotics and Intelligent Devices,361,433
MH401,Finance (options),357,398
MH402,Quantitative Finance,476,509
MH403,Accounting and Finance,422,468
MH404,Business (options),430,454
MH405,Equine Business,357,408
MH407,Business and Accounting,420,462
MH411,Entrepreneurship,371,408
MH501,LLB Law - four year Single Major Law programme,473,495
MH502,Law (options),451,473
MH601,Computer Science through Arts (options),352,403
MH602,Computer Science through Science (options),351,409
MH603,Computational Thinking,532,544
MH801,Early Childhood - Teaching and Learning (part-time),327,378
MH802,"Community and Youth Work (part-time, in service)",#,
MH803,"Local Studies/Community Studies (part-time, evening) - Mature Students",#,
MI001,Contemporary & Applied Theatre Studies,390,412
MI002,Arts,281,389
MI004,Education - Primary Teaching - International,577,589
MI005,Education - Primary Teaching,495,521
MI006,Education - Primary Teaching - Gaeltacht Applicants,462,519
MI007,Early Childhood Care and Education,357,409
MI008,Education and Psychology - Primary Teaching,588,601
MI009,"Education, Business Studies and Accounting",402,455
MI010,"Education, Business Studies and Religious Studies",368,389
MI011,"Education, Gaeilge and Religious Studies",409,451
MI012,"Education, Gaeilge and Business Studies",401,463
MI013,"Education, Mathematics and Gaeilge",444,477
MI014,"Education, Mathematics and Business Studies",434,487
MU001,Theology and Arts,290,349
MU002,Theology,440,440
NC003,Computing (Degree Award options),260,303
NC005,Human Resource Management,300,331
NC009,Business,300,346
NC010,Psychology,400,440
NC020,Marketing Practice,282,338
NC022,Accounting and Finance,337,378
NC023,Technology Management (with specialisations),261,282
NM801,Montessori Education,220,290
PC405,"Social, Political and Community Studies",216,311
PC410,Arts and Humanities (fulfils Teaching Council requirements),209,300
PC411,English and History (fulfils Teaching Council requirements),209,310
RC001,Medicine - Undergraduate Entry (HPAT required),733,738
