Code,Title,Points1,Points2,Year,Duplicate?
DT559,Photography,700,926,2019,0
DT571,Social Care,394,424,2019,0
DT572,Early Childhood Education,385,403,2019,0
DT582,Journalism,347,373,2019,0
DT596,Print Media Technology and Management,252,311,2019,0
DT597,Creative and Cultural Industries,280,369,2019,0
GA181,Accounting,303,378,2019,0
GA182,Business,290,347,2019,0
GA183,Business Information Systems,309,373,2019,0
GA184,Marketing and Sales,307,348,2019,0
GA185,Finance and Economics,307,398,2019,0
GA186,Business with Entrepreneurship,297,328,2019,0
GA187,Rural Enterprise and Agri-Business (Mountbellew Campus),280,367,2019,0
GA281,Film and Documentary,287,360,2019,0
GA282,Heritage Studies,238,308,2019,0
GA283,Contemporary Art,260,340,2019,0
GA284,Design,309,377,2019,0
GA380,International Hotel Management,225,289,2019,0
GA381,International Tourism Management,261,290,2019,0
GA382,Culinary and Gastronomic Science,225,316,2019,0
GA384,Event Management with Public Relations,209,289,2019,0
GA385,Retail Management,219,319,2019,0
GA480,Construction Management,260,312,2019,0
GA482,Quantity Surveying and Construction Economics,280,340,2019,0
GA483,Architectural Technology,251,321,2019,0
GA484,Civil Engineering,270,362,2019,0
GA580,Software and Electronic Engineering,301,351,2019,0
GA680,Mechanical Engineering,336,389,2019,0
GA681,Energy Engineering,281,328,2019,0
GA682,Biomedical Engineering,331,383,2019,0
GA683,Agricultural Engineering,301,365,2019,0
GA684,Engineering (Common entry to Agri/Biomed/Energy/Mech Eng),346,406,2019,0
GA780,Applied Freshwater and Marine Biology,300,360,2019,0
GA781,Applied Biology and Biopharmaceutical Science,317,376,2019,0
GA782,Chemical and Pharmaceutical Science,307,346,2019,0
GA783,Physics and Instrumentation,373,378,2019,0
GA784,Science (Undenominated),327,377,2019,0
GA785,Medical Science,451,486,2019,0
GA786,Forensic Science and Analysis,300,366,2019,0
GA787,Computing in Software Development,275,327,2019,0
GA788,Computing and Digital Media,270,327,2019,0
GA789,Agriculture and Environmental Management (Mountbellew Campus),297,339,2019,0
GA790,Sport and Exercise Science,350,379,2019,0
GA791,Public Health Nutrition,364,397,2019,0
GA880,General Nursing - Mayo Campus,389,400,2019,0
GA882,Psychiatric Nursing - Mayo Campus,346,370,2019,0
GA885,Outdoor Education - Mayo Campus,210,298,2019,0
GA887,History and Geography - Mayo Campus,228,296,2019,0
GA889,Applied Social Care - Mayo Campus,260,297,2019,0
GA890,Early Childhood Care and Education - Mayo Campus,278,319,2019,0
GA980,Education (Design Graphics and Construction) - Letterfrack Campus,376,389,2019,0
GA981,Furniture Design and Manufacture - Letterfrack Campus,271,350,2019,0
GA982,Furniture and Wood Technology - Letterfrack Campus,270,352,2019,0
GC200,Business Studies (Cork),269,359,2019,0
GC201,Accounting and Finance (Cork),251,388,2019,0
GC230,Computing Science (Cork),228,327,2019,0
GC300,Business Studies (Limerick),251,302,2019,0
GC301,Accounting and Finance,307,314,2019,0
GC302,"Business Studies - (HRM, Limerick)",269,269,2019,0
GC305,International Hospitality Management (Limerick),327,327,2019,0
GC400,Business Studies (Dublin),246,297,2019,0
GC401,Accounting and Finance (Dublin),181,309,2019,0
GC402,"Business Studies (HRM, Dublin)",217,290,2019,0
GC403,Law (Dublin),225,308,2019,0
GC405,International Hospitality Management (Dublin),254,272,2019,0
GC407,"Business Studies (Marketing, Dublin)",246,330,2019,0
GC430,Computing Science (Dublin),217,269,2019,0
GC450,Journalism and Visual Media (Dublin),227,307,2019,0
GC462,Design Communication (Dublin),,,2019,0
GC489,Interior Architecture (Dublin),267,361,2019,0
GC494,Fashion Design (Dublin),,,2019,0
GY101,Arts (Joint-Honours),300,374,2019,0
GY104,Arts (Psychology),507,529,2019,0
GY105,Arts (History),318,358,2019,0
GY107,Na Dána (Gaeilge agus Léann an Aistriúcháin),330,397,2019,0
GY109,Arts (Mathematics and Education),411,487,2019,0
GY110,Arts with Children's Studies,382,409,2019,0
GY111,Arts with Creative Writing,402,472,2019,0
GY112,Arts with Film Studies,338,370,2019,0
GY113,Arts with Human Rights,338,409,2019,0
GY115,Arts with Performing Arts Studies,328,367,2019,0
GY118,"Arts (Drama, Theatre and Performance Studies)",410,451,2019,0
GY119,Journalism,410,475,2019,0
GY120,"Arts (Child, Youth and Family: Policy and Practice)",309,346,2019,0
GY121,Arts (Children's Studies),356,389,2019,0
GY122,Na Dána (Cumarsáid agus Gaeilge),308,399,2019,0
GY123,BSc (Applied Social Sciences),357,388,2019,0
GY124,Arts (Arts with Data Science),434,466,2019,0
GY125,Arts (Digital Arts and Technology),324,379,2019,0
GY126,Arts (English and Media Studies),418,451,2019,0
GY127,Arts (Film and Digital Media),387,435,2019,0
GY128,Arts (Global Languages),370,440,2019,0
GY129,Arts (International),408,477,2019,0
GY130,Arts (Music),400,444,2019,0
GY131,Arts (History and Globalisation Studies),340,431,2019,0
GY132,"Government (Politics, Economics and Law)",402,444,2019,0
GY133,Education (Computer Science and Mathematical  Studies),401,466,2019,0
GY201,Commerce,420,453,2019,0
GY202,Commerce (International) with French,484,513,2019,0
GY203,Commerce (International) with German,489,541,2019,0
GY204,Commerce (International) with Spanish,484,500,2019,0
GY206,Business Information Systems (Work Placement & Optional Int`l Study),431,445,2019,0
GY207,Commerce (Accounting) including optional Global Experience year,486,510,2019,0
GY208,Commerce (Gaeilge),473,488,2019,0
GY209,Commerce (Global Experience),509,531,2019,0
GY250,Law & Business,436,467,2019,0
GY251,Law,473,498,2019,0
GY252,Law & Human Rights,510,521,2019,0
GY261,"Business Studies (International Hotel Management, Shannon)",486,615,2019,0
GY262,"Commerce (International Hotel Management, Shannon)",671,726,2019,0
GY301,Science,400,456,2019,0
GY303,Biomedical Science,533,566,2019,0
GY304,Biotechnology,473,507,2019,0
GY308,Environmental Science,413,440,2019,0
GY309,Financial Mathematics and Economics,454,498,2019,0
GY310,Marine Science,409,456,2019,0
GY313,Environmental Health and Safety,402,435,2019,0
GY314,Earth and Ocean Sciences,402,425,2019,0
GY318,Biopharmaceutical Chemistry,510,532,2019,0
