Code,Title,Points1,Points2,Year
LM092,Science with Teacher Ed (Biology with Physics/Chemistry/Ag Science),507,531,2020
LM093,Equine Science,339,412,2020
LM094,Materials and Architectural Technology with concurrent Teacher Education,440,478,2020
LM095,Materials and Engineering Technology with concurrent Teacher Education,367,421,2020
LM096,Science with Teacher Ed (Physical Sciences with Chemistry and Physics),405,454,2020
LM097,Mathematics and Computer Science with concurrent Teacher Education,402,509,2020
LM099,Architecture (portfolio requirement suspended),498,532,2020
LM100,Physiotherapy,589,601,2020
LM101,Medicine  - Graduate Entry (GAMSAT required),55,57,2020
LM102,Psychology,509,529,2020
LM103,Paramedic Studies (B/C1/C1 Provisional Drivers Licence),392,445,2020
LM115,Chemical and Biochemical Engineering,454,532,2020
LM116,Engineering (Biomedical/Civil/Design and Manufacture/Mechanical),476,521,2020
LM118,Electronic and Computer Engineering,403,489,2020
LM121,Computer Science (Computer Systems/Games Dev/Mobile Comm Security),351,423,2020
LM122,Creative Media and Interaction Design (Digital Design/Music Media Tech),327,401,2020
LM123,Biological & Chemical Sciences (Biosci/Envir Sci/Ind Bio/IndPharma Chem),441,478,2020
LM124,Mathematics (Math Science/Maths and Physics/Economics and Maths),437,509,2020
LM125,Physics (Applied Physics or Mathematics & Physics),404,520,2020
LM150,General Nursing,475,498,2020
LM152,Mental Health Nursing,419,430,2020
