Title,Points1_2019,Points2_2019,Points1_2020,Points2_2020,Points1_2021,Points2_2021
Social Sciences (options),388,441,418,466,475   ,474
Economics,476,488,498,510,534   ,532
Psychology,517,531,522,543,566   ,564
Social Policy and Sociology                        ,330,366,377,408,421   ,
Product Design,433,464,,,,
Transport Operations and Technology,279,348,,,,
Electrical Services and Energy Management,293,340,,,,
Engineering (General Entry),400,457,,,,
Architecture (test and interview),618,647,,,,
Planning and Environmental Management,312,337,,,,
Property Economics (Valuation Surveying),367,424,,,,
Quantity Surveying and Construction Economics,391,421,,,,
Geographic Science,287,335,,,,
Construction Management,356,373,,,,
Architectural Technology,388,425,,,,
Science (General Entry),464,477,,,,
Analytical Chemistry (Environmental Forensic and Pharmaceutical),341,403,,,,
Biomedical Science,501,512,,,,
Mathematical Sciences,315,363,,,,
Biomedical and Molecular Diagnostics,473,487,,,,
Computer Science (Infrastructure),381,414,,,,
Industrial Mathematics,300,317,,,,
Physics with Energy and Environment,348,436,,,,
Physics Technology,321,371,,,,
Human Nutrition and Dietetics,553,566,,,,
Optometry,487,529,,,,
Public Health Nutrition,440,476,,,,
Science with Nanotechnology,312,361,,,,
Computer Science,451,466,,,,
Clinical Measurement Science,491,509,,,,
Physics with Medical Physics and Bioengineering,357,403,,,,
Computer Science (International),377,402,,,,
Chemical Sciences with Medicinal Chemistry,420,445,,,,
Business Analytics,325,403,,,,
E-Commerce in Retailing,341,388,,,,
Business and Law,462,478,,,,
Marketing,400,419,,,,
Retail and Services Management,301,332,,,,
Business Computing,322,341,,,,
Logistics and Supply Chain Management,300,359,,,,
Business and Management,440,456,,,,
Accounting and Finance,432,454,,,,
Human Resource Management,375,388,,,,
Economics and Finance,437,465,,,,
International Hospitality Management,300,337,,,,
Culinary Science,308,377,,,,
Culinary Arts,271,342,,,,
Tourism Marketing,284,322,,,,
Event Management,356,389,,,,
Culinary Entrepreneurship,275,339,,,,
Nutraceuticals in Health and Nutrition,392,432,,,,
Food Innovation,321,366,,,,
Pharmaceutical Healthcare,397,423,,,,
Environmental Health,343,380,,,,
Music,383,520,,,,
Film and Broadcasting,443,467,,,,
Commercial Modern Music,468,835,,,,
Game Design,403,454,,,,
Languages and English Studies,326,419,,,,
Languages and International Tourism,307,357,,,,
Drama (Performance),371,519,,,,
Law (LL.B.),422,441,,,,
Contemporary Visual Culture,,,,,,
Interior Design,552,866,,,,
Design - Visual Communication,667,897,,,,
Fine Art,668,813,,,,
International Business and Languages,353,399,,,,
Photography,700,926,,,,
Social Care,394,424,,,,
Early Childhood Education,385,403,,,,
Journalism,347,373,,,,
Print Media Technology and Management,252,311,,,,
Creative and Cultural Industries,280,369,,,,
Accounting,303,378,309,403,303   ,
Business,290,347,287,347,285   ,
Business Information Systems,309,373,296,356,298   ,
Marketing and Sales                                ,307,348,307,357,300   ,
