Code,Title,Points1,Mid,Year
TR083,Sociology and Social Policy,451,474,2019
TR084,Social Studies (Social Work),420,462,2019
TR085,Business Studies and French,509,553,2019
TR086,Business Studies and German,474,495,2019
TR087,Business Studies and Russian,467,487,2019
TR089,Business Studies and Polish,393,434,2019
TR090,Business Studies and Spanish,510,543,2019
TR091,General Nursing (Meath and St James`s),393,420,2019
TR093,General Nursing (Adelaide School of Nursing),378,409,2019
TR095,Mental Health Nursing,358,377,2019
TR097,Intellectual Disability Nursing,346,350,2019
TR911,Children`s and General Nursing (Integrated),476,487,2019
TR913,Midwifery,423,462,2019
DN100,Architecture,473,509,2019
DN120,Landscape Architecture,353,403,2019
DN130,City Planning and Environmental Policy,367,421,2019
DN150,Engineering (Common Entry),511,554,2019
DN200,Science (options),521,554,2019
DN201,Computer Science (Common Entry),488,509,2019
DN230,Actuarial and Financial Studies,577,589,2019
DN250,Agricultural Science (options),420,462,2019
DN252,Dairy Business,398,428,2019
DN253,Agri - Environmental Sciences,403,419,2019
DN261,Food Science,434,467,2019
DN262,Human Nutrition,493,510,2019
DN271,Forestry,303,361,2019
DN272,"Horticulture, Landscape and Sportsturf Management",252,312,2019
DN300,Veterinary Medicine - Undergraduate Entry,567,589,2019
DN301,Veterinary Medicine - Graduate Entry,,,2019
DN310,Veterinary Nursing,441,487,2019
DN400,Medicine - Undergraduate Entry (HPAT required),735,745,2019
DN401,Medicine - Graduate Entry (GAMSAT required),59,61,2019
DN410,Radiography,507,522,2019
DN411,Radiography - Graduate Entry,,,2019
DN420,Physiotherapy,542,555,2019
DN425,Health and Performance Science,488,509,2019
DN430,Sport and Exercise Management,436,455,2019
DN440,"Biomedical, Health and Life Sciences",565,579,2019
DN450,General Nursing,398,420,2019
DN451,Children`s and General Nursing (Integrated),462,499,2019
DN452,Midwifery,409,452,2019
DN453,Mental Health Nursing,379,403,2019
DN520,Arts (Two Subjects),336,408,2019
DN530,Humanities (options),348,411,2019
DN541,Modern Languages (options),348,412,2019
DN600,Law (options),520,532,2019
DN610,Business and Law,521,543,2019
DN650,Commerce,498,510,2019
DN660,Commerce International (options),507,531,2019
DN670,Economics and Finance,601,601,2019
DN700,Social Sciences (options),388,441,2019
DN710,Economics,476,488,2019
DN720,Psychology,517,531,2019
DN750,Social Policy and Sociology,330,366,2019
DK810,Accounting and Finance,306,391,2019
DK816,Business Studies,300,357,2019
DK820,Computing in Games Development,307,369,2019
DK821,Computing in Software Development,301,347,2019
DK830,Building Surveying,302,349,2019
DK831,Architectural Technology,301,366,2019
DK832,Construction Management,300,329,2019
DK843,Engineering (Common Entry),303,402,2019
DK860,Music,499,649,2019
DK861,Arts,300,358,2019
DK862,Social Care,300,338,2019
DK863,Creative Media,300,376,2019
DK864,Film and Television Production,300,332,2019
DK865,Audio and Music Production,301,346,2019
DK870,General Nursing,392,401,2019
DK872,Intellectual Disability Nursing,300,317,2019
DK874,Mental Health Nursing,356,378,2019
DK876,Early Childhood Studies,305,359,2019
DK877,Midwifery,398,441,2019
DK880,Health and Physical Activity,300,367,2019
DK882,Agriculture (Award options),303,358,2019
DK883,Science (Award options),300,369,2019
GA181,Accounting,303,378,2019
GA182,Business,290,347,2019
GA183,Business Information Systems,309,373,2019
GA184,Marketing and Sales,307,348,2019
GA185,Finance and Economics,307,398,2019
GA186,Business with Entrepreneurship,297,328,2019
GA187,Rural Enterprise and Agri-Business (Mountbellew Campus),280,367,2019
GA281,Film and Documentary,287,360,2019
GA282,Heritage Studies,238,308,2019
GA283,Contemporary Art,260,340,2019
GA284,Design,309,377,2019
GA380,International Hotel Management,225,289,2019
GA381,International Tourism Management,261,290,2019
GA382,Culinary and Gastronomic Science,225,316,2019
GA384,Event Management with Public Relations,209,289,2019
GA385,Retail Management,219,319,2019
GA480,Construction Management,260,312,2019
GA482,Quantity Surveying and Construction Economics,280,340,2019
GA483,Architectural Technology,251,321,2019
GA484,Civil Engineering,270,362,2019
GA580,Software and Electronic Engineering,301,351,2019
GA680,Mechanical Engineering,336,389,2019
GA681,Energy Engineering,281,328,2019
GA682,Biomedical Engineering,331,383,2019
GA683,Agricultural Engineering,301,365,2019
GA684,Engineering (Common entry to Agri/Biomed/Energy/Mech Eng),346,406,2019
GA780,Applied Freshwater and Marine Biology,300,360,2019
GA781,Applied Biology and Biopharmaceutical Science,317,376,2019
GA782,Chemical and Pharmaceutical Science,307,346,2019
GA783,Physics and Instrumentation,373,378,2019
GA784,Science (Undenominated),327,377,2019
GA785,Medical Science,451,486,2019
GA786,Forensic Science and Analysis,300,366,2019
GA787,Computing in Software Development,275,327,2019
GA788,Computing and Digital Media,270,327,2019
GA789,Agriculture and Environmental Management (Mountbellew Campus),297,339,2019
GA790,Sport and Exercise Science,350,379,2019
GA791,Public Health Nutrition,364,397,2019
GA880,General Nursing - Mayo Campus,389,400,2019
GA882,Psychiatric Nursing - Mayo Campus,346,370,2019
GA885,Outdoor Education - Mayo Campus,210,298,2019
GA887,History and Geography - Mayo Campus,228,296,2019
GA889,Applied Social Care - Mayo Campus,260,297,2019
GA890,Early Childhood Care and Education - Mayo Campus,278,319,2019
GA980,Education (Design Graphics and Construction) - Letterfrack Campus,376,389,2019
GA981,Furniture Design and Manufacture - Letterfrack Campus,271,350,2019
GA982,Furniture and Wood Technology - Letterfrack Campus,270,352,2019
GY101,Arts (Joint-Honours),300,374,2019
GY104,Arts (Psychology),507,529,2019
GY105,Arts (History),318,358,2019
GY107,Na Dána (Gaeilge agus Léann an Aistriúcháin),330,397,2019
GY109,Arts (Mathematics and Education),411,487,2019
GY110,Arts with Children's Studies,382,409,2019
GY111,Arts with Creative Writing,402,472,2019
GY112,Arts with Film Studies,338,370,2019
GY113,Arts with Human Rights,338,409,2019
GY115,Arts with Performing Arts Studies,328,367,2019
GY118,"Arts (Drama, Theatre and Performance Studies)",410,451,2019
GY119,Journalism,410,475,2019
GY120,"Arts (Child, Youth and Family: Policy and Practice)",309,346,2019
GY121,Arts (Children's Studies),356,389,2019
GY122,Na Dána (Cumarsáid agus Gaeilge),308,399,2019
GY123,BSc (Applied Social Sciences),357,388,2019
GY124,Arts (Arts with Data Science),434,466,2019
GY125,Arts (Digital Arts and Technology),324,379,2019
GY126,Arts (English and Media Studies),418,451,2019
GY127,Arts (Film and Digital Media),387,435,2019
GY128,Arts (Global Languages),370,440,2019
